trait_name,trait_type
Beak.Length_Culmen,Q
Beak.Length_Nares,Q
Beak.Width,Q
Beak.Depth,Q
Tarsus.Length,Q
Wing.Length,Q
Kipps.Distance,Q
Secondary1,Q
Hand.Wing.Index,Q
Tail.Length,Q
Mass,Q
Habitat,N
Habitat.Density,N
Migration,N
Trophic.Niche,N
Primary.Lifestyle,N
Range.Size,Q
hab_breadth,Q
adult_length_cm,Q
female_maturity_d,Q
clutch_size_n,Q
clutches_per_y,Q
egg_mass_g,Q
incubation_d,Q
fledging_age_d,Q
longevity_y,Q
PopulationDensity_ind_km2,Q
birth_or_hatching_weight_g,Q
Degree_of_development,N
Gregariousness,N
Mating_system,N
relative_brain,Q
